0,1,2,3,4,5,6,7
2019-10-11 12:29:49,"RT @kikimordi: Hey I forgot to mention that we hit a million views in two days!
How cool is that? @BBCAfrica
#BBCAfricaEye #SexForGrades…",en,"Ibadan, Nigeria",False,Twitter for Android,168,0
2019-10-11 12:29:49,RT @oluremisonaiya: Can't get this off my mind: @kikimordi had to drop out of univ cos of #SexForGrades; @emekachukwuleta lost his MTN scho…,en,"Lagos, Nigeria",False,Twitter Web App,497,0
2019-10-11 12:29:31,"RT @that_blaq_boi: Legon fuo di3 everything you wan chop first...Sex grades u dey top, Suicide u take, Chalewote u conquer and afters paren…",en,Accra Ghana,False,Twitter for Android,10,0
2019-10-11 12:29:15,"RT @ShehuSani: A lecturer condemned #Sexforgrades on his facebook wall,one of his old female student  commented with “Hmmmnnnn”,within seco…",en,"Lagos, Nigeria",False,Twitter for Android,2980,0
2019-10-11 12:28:58,RT @BBCAfrica: #SexForGrades has been trending worldwide after the explosive investigation by BBC Africa Eye into sexual harassment allegat…,en,harare,False,Twitter Web App,529,0
2019-10-11 12:28:55,RT @oluremisonaiya: Can't get this off my mind: @kikimordi had to drop out of univ cos of #SexForGrades; @emekachukwuleta lost his MTN scho…,en,,False,Twitter for Android,497,0
2019-10-11 12:28:45,"RT @ilivelike61: Mr Eyiwunmi of Physics department, Faculty of science, Ekiti state University is gay and abuses male student, Brilliant or…",en,Nigeria,False,Twitter for iPhone,767,0
2019-10-11 12:28:36,"RT @ShehuSani: A lecturer condemned #Sexforgrades on his facebook wall,one of his old female student  commented with “Hmmmnnnn”,within seco…",en,"Abuja, Nigeria",False,Twitter for Android,2980,0
2019-10-11 12:28:30,"RT @ShehuSani: A lecturer condemned #Sexforgrades on his facebook wall,one of his old female student  commented with “Hmmmnnnn”,within seco…",en,,False,Twitter for Android,2980,0
2019-10-11 12:28:17,"RT @Mosmikey: We should not laugh.
We should learn.
#legon #gyampo #unilag #UNILAG #Boniface #sexforgrades #universityofghana #Coldroomexpe…",en,"Tema, Ghana",False,Twitter for Android,4,0
2019-10-11 12:27:56,"RT @ShehuSani: A lecturer condemned #Sexforgrades on his facebook wall,one of his old female student  commented with “Hmmmnnnn”,within seco…",en,Warri,False,Twitter for Android,2980,0
2019-10-11 12:27:47,"RT @ShehuSani: A lecturer condemned #Sexforgrades on his facebook wall,one of his old female student  commented with “Hmmmnnnn”,within seco…",en,"Enugu, Nigeria",False,Twitter for Android,2980,0
2019-10-11 12:27:41,"RT @Adesola_AU: None of these female celebrities have said anything about #SexForGrades. But because OAPs don’t like you, you’re foaming at…",en,"Kaduna, nigeria",False,Twitter for Android,79,0
2019-10-11 12:27:38,"RT @ShehuSani: A lecturer condemned #Sexforgrades on his facebook wall,one of his old female student  commented with “Hmmmnnnn”,within seco…",en,Planet Earth,False,Twitter for iPhone,2980,0
2019-10-11 12:27:27,"RT @ShehuSani: A lecturer condemned #Sexforgrades on his facebook wall,one of his old female student  commented with “Hmmmnnnn”,within seco…",en,World,False,Twitter for iPhone,2980,0
2019-10-11 12:27:18,RT @oluremisonaiya: Can't get this off my mind: @kikimordi had to drop out of univ cos of #SexForGrades; @emekachukwuleta lost his MTN scho…,en,Zion,False,Twitter Web App,497,0
2019-10-11 12:27:13,RT @oluremisonaiya: Can't get this off my mind: @kikimordi had to drop out of univ cos of #SexForGrades; @emekachukwuleta lost his MTN scho…,en,"Abuja, Nigeria",False,Twitter for Android,497,0
2019-10-11 12:27:04,RT @oluremisonaiya: Can't get this off my mind: @kikimordi had to drop out of univ cos of #SexForGrades; @emekachukwuleta lost his MTN scho…,en,Nigeria,False,Twitter for iPhone,497,0
2019-10-11 12:26:24,RT @oluremisonaiya: Can't get this off my mind: @kikimordi had to drop out of univ cos of #SexForGrades; @emekachukwuleta lost his MTN scho…,en,Lagos,False,Twitter for Android,497,0
2019-10-11 12:26:21,"RT @kwadwosheldon: After watching the full documentary....
Prof. Ogyampo's case is a foolish case!

#SexForGrades #Ogyampo https://t.co/Xln…",en,"Greater Accra, Ghana",False,Twitter Web App,192,0
2019-10-11 12:26:11,"RT @i_am_koranteng: Things Dey happen for campus ooo
#sexforgrades
#slipperschallenge 
#WonderBoyAlbum https://t.co/oPv77ws3My",en,Accra We Dey !!!!,False,Twitter for iPhone,5,0
2019-10-11 12:25:50,"RT @ShehuSani: A lecturer condemned #Sexforgrades on his facebook wall,one of his old female student  commented with “Hmmmnnnn”,within seco…",en,"New York, USA",False,Twitter for iPhone,2980,0
2019-10-11 12:25:35,What are a girl's last rites supposed to be? Here is a poem by @MsSalamatu #SexForGrades… https://t.co/ixsZ9Rz6y2,en,"Suites C22, MIB plaza,Gwarimpa",False,TweetDeck,0,0
2019-10-11 12:25:16,"RT @BBCAfrica: ""This was the hardest thing I've ever done.""

@kikimordi tells our Women's Affairs journalist @azzy4women, what it was like…",en,Accra,False,Twitter for Android,136,0
2019-10-11 12:25:13,RT @BBCAfrica: #SexForGrades has been trending worldwide after the explosive investigation by BBC Africa Eye into sexual harassment allegat…,en,"Wellesley, MA",False,Twitter for iPhone,529,0
2019-10-11 12:25:06,RT @elly_serwaaa: You are busy judging the girls who intentionally go to lecturers with the aim of #SexForGrades forgetting you too you hav…,en,"Kasoa, Ghana",False,Twitter Web App,961,0
2019-10-11 12:24:48,RT @oluremisonaiya: Can't get this off my mind: @kikimordi had to drop out of univ cos of #SexForGrades; @emekachukwuleta lost his MTN scho…,en,Limbo ,False,Twitter for iPhone,497,0
2019-10-11 12:24:44,RT @WRAPANG: @HenshawKate @EVA_Nigeria @womenfundng @wfm917 @CDDWestAfrica @HassanIdayat @oaaigbe @cirddocNG @RinsolaAbiola @FakhuusHashim…,en,worldwide,True,Twitter for Android,1,0
2019-10-11 12:24:43,"Finally watched the #SexforGrades documentary.
Its disturbing how even with the evidence on tape, the professors st… https://t.co/Oq89ybHcyn",en,Kikuyu ,False,Twitter Web App,0,0
2019-10-11 12:24:30,RT @WRAPANG: @HenshawKate @EVA_Nigeria @womenfundng @wfm917 @CDDWestAfrica @HassanIdayat @oaaigbe @cirddocNG @RinsolaAbiola @FakhuusHashim…,en,worldwide,True,Twitter for Android,2,0
2019-10-11 12:24:30,"RT @ShehuSani: A lecturer condemned #Sexforgrades on his facebook wall,one of his old female student  commented with “Hmmmnnnn”,within seco…",en,"Port Harcourt, Nigeria",False,Twitter for Android,2980,0
2019-10-11 12:24:27,"RT @Mosmikey: We should not laugh.
We should learn.
#legon #gyampo #unilag #UNILAG #Boniface #sexforgrades #universityofghana #Coldroomexpe…",en,"Greater Accra, Ghana",False,Twitter for iPhone,4,0
2019-10-11 12:24:25,RT @WRAPANG: @HenshawKate @EVA_Nigeria @womenfundng @wfm917 @CDDWestAfrica @HassanIdayat @oaaigbe @cirddocNG @RinsolaAbiola @FakhuusHashim…,en,worldwide,True,Twitter for Android,1,0
2019-10-11 12:24:14,"RT @ShehuSani: A lecturer condemned #Sexforgrades on his facebook wall,one of his old female student  commented with “Hmmmnnnn”,within seco…",en,"Lagos, Nigeria",False,Twitter for Android,2980,0
2019-10-11 12:24:07,"RT @ShehuSani: A lecturer condemned #Sexforgrades on his facebook wall,one of his old female student  commented with “Hmmmnnnn”,within seco…",en,"Osun, Nigeria",False,Twitter for Android,2980,0
2019-10-11 12:24:06,"RT @ShehuSani: A lecturer condemned #Sexforgrades on his facebook wall,one of his old female student  commented with “Hmmmnnnn”,within seco…",en,wherever u want me to be,False,Twitter for Android,2980,0
2019-10-11 12:23:57,"RT @MirabelCentreNG: On this #InternationalDayoftheGirlChild  we would like to see:
- That every state domesticates the Child Right's Law
-…",en,Lagos,False,Twitter for Android,4,0
2019-10-11 12:23:54,"RT @MirabelCentreNG: On this #InternationalDayoftheGirlChild  we would like to see:
- That every state domesticates the Child Right's Law
-…",en,"Ibadan, Oyo state Nigeria ",False,Twitter for Android,4,0
2019-10-11 12:23:50,"RT @Oluomoofderby: First Lady, Aisha Buhari is allegedly back,Aso Rock cabals locked her up in her room. 

Over 400 security men guarding A…",en,"Calabar, Nigeria",False,Twitter for Android,3,0
2019-10-11 12:23:48,RT @saadat_bibire: So my course mate back in school shared her experience on the #SEXFORGRADES thing. Ya'll dont wanna know how so many peo…,en,Nigeria,False,Twitter for Android,13,0
2019-10-11 12:23:42,RT @oluremisonaiya: Can't get this off my mind: @kikimordi had to drop out of univ cos of #SexForGrades; @emekachukwuleta lost his MTN scho…,en,,False,Twitter for Android,497,0
2019-10-11 12:23:40,"A lecturer condemned #Sexforgrades on his facebook wall,one of his old female student  commented with “Hmmmnnnn”,wi… https://t.co/AY4Pb2rZFc",en,Nigeria,False,Twitter for Android,0,0
2019-10-11 12:23:22,"RT @ShehuSani: A lecturer condemned #Sexforgrades on his facebook wall,one of his old female student  commented with “Hmmmnnnn”,within seco…",en,,False,Twitter for Android,2980,0
2019-10-11 12:23:13,"RT @that_blaq_boi: Legon fuo di3 everything you wan chop first...Sex grades u dey top, Suicide u take, Chalewote u conquer and afters paren…",en,"Adenta-Accra, Ghana/UCC",False,Twitter for iPhone,10,0
2019-10-11 12:23:07,"RT @ShehuSani: A lecturer condemned #Sexforgrades on his facebook wall,one of his old female student  commented with “Hmmmnnnn”,within seco…",en,"Uyo, Nigeria",False,Twitter for Android,2980,0
2019-10-11 12:23:07,RT @saadat_bibire: So my course mate back in school shared her experience on the #SEXFORGRADES thing. Ya'll dont wanna know how so many peo…,en,"Enugu, Nigeria",False,Twitter for Android,13,0
2019-10-11 12:23:07,UNN Lecturer And Pastor Reverses Claim of #SexForGrades Documentary Being Doctored After Backlash… https://t.co/H7bWV4tCdb,en,Nigeria,False,WordPress.com,0,0
2019-10-11 12:23:04,UNN Lecturer And Pastor Reverses Claim of #SexForGrades Documentary Being Doctored After Backlash… https://t.co/L4guSp4yvy,en,"Lagos, Nigeria",False,WordPress.com,0,0
2019-10-11 12:22:58,"RT @MirabelCentreNG: On this #InternationalDayoftheGirlChild  we would like to see:
- That every state domesticates the Child Right's Law
-…",en,worldwide,True,Twitter for Android,4,0
2019-10-11 12:22:46,"RT @BBCAfrica: For the past year, BBC Africa Eye has been secretly investigating sexual harassment by lecturers at West Africa's most prest…",en,🇳🇬 Nigeria Abuja,False,Twitter for iPhone,16551,0
2019-10-11 12:22:41,"RT @ShehuSani: A lecturer condemned #Sexforgrades on his facebook wall,one of his old female student  commented with “Hmmmnnnn”,within seco…",en,out of this world,False,Twitter for Android,2980,0
2019-10-11 12:22:40,"RT @i_am_koranteng: Things Dey happen for campus ooo
#sexforgrades
#slipperschallenge 
#WonderBoyAlbum https://t.co/oPv77ws3My",en,Teshie,False,Twitter Web App,5,0
2019-10-11 12:22:30,"RT @Coal_City: UNN lecturer clears the air on his previous facebook post. Says he would never support #SexForGrades.

#CoalCityConnect http…",en,"Ikeja, Nigeria",False,Twitter for iPhone,35,0
2019-10-11 12:22:22,RT @oluremisonaiya: Can't get this off my mind: @kikimordi had to drop out of univ cos of #SexForGrades; @emekachukwuleta lost his MTN scho…,en,"Lagos, Nigeria",False,Twitter for Android,497,0
