0,1,2,3,4,5,6,7
2019-10-09 05:56:56,"Come, let me show you married men with four wives who still indulge in adultery. Religion has nothing to do with th… https://t.co/8vMK2OMfsQ",en,"Abuja, Nigeria",False,Twitter for Android,0,0
2019-10-09 00:53:49,"RT @AtinukeTunrayo: Islam is the best, marry four wives so as to stay away from extra marital affairs like that of #DrBoniface they won't l…",en,,False,Twitter for iPhone,40,0
2019-10-09 00:49:39,"RT @honest2God101: There noor dem wan start #DrBoniface challenge 😂😂😂😂
#SexForGrades https://t.co/t16oxaLV3Q",en,"Accra, Ghana",False,Twitter for iPhone,54,0
2019-10-08 23:53:36,"RT @AtinukeTunrayo: Islam is the best, marry four wives so as to stay away from extra marital affairs like that of #DrBoniface they won't l…",en,"Lagos, Nigeria",False,Twitter for iPhone,40,0
2019-10-08 23:12:35,RT @fadalawdpickin: I just heard #DrBoniface attempted suicide last night... Jezzz I just hope this isn't true. He should not die o. They m…,en,"Lagos, Nigeria.",False,Twitter for iPhone,1,0
2019-10-08 23:06:45,"RT @honest2God101: There noor dem wan start #DrBoniface challenge 😂😂😂😂
#SexForGrades https://t.co/t16oxaLV3Q",en,Somalia,False,Twitter for Android,54,0
2019-10-08 22:48:24,RT @Qweku_Jay: When the students refuse to enter the cold room but still want first class... Herrr wuramu #SexForGrades #ColdRoom #Coldroom…,en,,False,Twitter for Android,57,0
2019-10-08 21:08:14,RT @Qweku_Jay: When the students refuse to enter the cold room but still want first class... Herrr wuramu #SexForGrades #ColdRoom #Coldroom…,en,,False,Twitter for Android,57,0
2019-10-08 20:53:11,"RT @AtinukeTunrayo: Islam is the best, marry four wives so as to stay away from extra marital affairs like that of #DrBoniface they won't l…",en,"Kaduna, Nigeria",False,Twitter for Android,40,0
2019-10-08 20:51:21,"RT @AtinukeTunrayo: Islam is the best, marry four wives so as to stay away from extra marital affairs like that of #DrBoniface they won't l…",en,"Kaduna, Nigeria",False,Twitter for Android,40,0
2019-10-08 20:42:27,RT @Qweku_Jay: When the students refuse to enter the cold room but still want first class... Herrr wuramu #SexForGrades #ColdRoom #Coldroom…,en,Globetrotter,False,Twitter for iPhone,57,0
2019-10-08 20:36:14,RT @Yemmygrace2: Its a pity some girls intentionally go to lecturers with the aim of #SexForGrades. I think girls should be wise and stop b…,en,Ibadan,False,Twitter for Android,1,0
2019-10-08 20:26:43,"Adoju tini baba. Adoju ti Ijò.
#DrBoniface
#Unilag
#SexForGrade
#ColdRoomExperience https://t.co/Vaa8mOL2tZ",ht,ALL OVER THE WORLD!,False,Twitter for Android,0,0
2019-10-08 20:15:48,"RT @AtinukeTunrayo: Islam is the best, marry four wives so as to stay away from extra marital affairs like that of #DrBoniface they won't l…",en,"Lagos, Nigeria",False,Twitter for iPhone,40,0
2019-10-08 19:56:33,"RT @wavy_tycoon: Since they decided not to talk about #sexforgrades #DrBoniface so I came up with this short freestyle.. 
kindly retweet an…",en,,False,Twitter for Android,2,0
2019-10-08 19:50:45,RT @itz_laolao: Things are about to get interesting. Remember the guy that Unilag suspended yeah? Guess what... #BBCAfricaneye #SexForGrade…,en,Dallas,False,Twitter for iPhone,212,0
