"","word","freq"
"tweet","tweet",8
"base","base",8
"play","play",8
"gave","gave",8
"includ","includ",8
"perceiv","perceiv",8
"far","far",8
"deal","deal",8
"move","move",8
"polytechn","polytechn",8
"deserv","deserv",8
"psycholog","psycholog",8
"trauma","trauma",8
"minut","minut",8
"miss","miss",8
"switch","switch",8
"harrass","harrass",8
"technolog","technolog",7
"everyth","everyth",7
"rather","rather",7
"dress","dress",7
"predat","predat",7
"claim","claim",7
"someth","someth",7
"sexjob","sexjob",7
"final","final",7
"coldroomexperi","coldroomexperi",7
"concept","concept",7
"ask","ask",7
"sinc","sinc",7
"bodi","bodi",7
"reput","reput",7
"rep","rep",7
"stupid","stupid",7
"evid","evid",7
"increas","increas",7
"innoc","innoc",7
"couldn","couldn",7
"wonder","wonder",7
"got","got",7
"unknown","unknown",7
"class","class",7
"feder","feder",7
"step","step",7
"told","told",7
"ordinarili","ordinarili",7
"limit","limit",7
"crimin","crimin",7
"sega","sega",7
"lago","lago",7
"welcom","welcom",7
"corrupt","corrupt",6
"offic","offic",6
"feel","feel",6
"made","made",6
"sure","sure",6
"especi","especi",6
"lol","lol",6
"coldroom","coldroom",6
"releas","releas",6
"address","address",6
"futur","futur",6
"awesom","awesom",6
"ooo","ooo",6
"uniport","uniport",6
"care","care",6
"guid","guid",6
"admiss","admiss",6
"enter","enter",6
"gain","gain",6
"med","med",6
"unqualifi","unqualifi",6
"knew","knew",6
"kiss","kiss",6
"polit","polit",6
"exposur","exposur",6
"sexg","sexg",6
"misconduct","misconduct",6
"dia","dia",6
"face","face",6
"ever","ever",6
"real","real",6
"accord","accord",6
"counsel","counsel",6
"unit","unit",6
"laugh","laugh",6
"unilorin","unilorin",6
"govern","govern",6
"coerciv","coerciv",6
"form","form",6
"rang","rang",6
"touch","touch",6
"verbal","verbal",6
"kill","kill",6
"advis","advis",6
"espous","espous",6
"june","june",6
"statist","statist",6
"leader","leader",6
"wasn","wasn",6
"matter","matter",6
"around","around",6
"glad","glad",6
"anold","anold",6
"brah","brah",6
"primari","primari",6
"closur","closur",6
"attende","attende",6
"cross","cross",6
"audienc","audienc",6
"administr","administr",6
"coexist","coexist",6
"process","process",6
"tag","tag",6
"fight","fight",5
"west","west",5
"hypocrit","hypocrit",5
"righteous","righteous",5
"induc","induc",5
"monday","monday",5
"tuesday","tuesday",5
"next","next",5
"isn","isn",5
"bad","bad",5
